"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"10/7/2024","10/7/2024","10/7/2024","O","Stock Lending","SLIP","","","$0.01"
"10/7/2024","10/7/2024","10/7/2024","ADC","Stock Lending","SLIP","","","$0.01"
"10/7/2024","10/7/2024","10/7/2024","ARM","Stock Lending","SLIP","","","$0.01"
"10/7/2024","10/7/2024","10/7/2024","RSP","Stock Lending","SLIP","","","$0.01"
"10/2/2024","10/2/2024","10/2/2024","NOBL","Cash Div: R/D 2024-09-25 P/D 2024-10-02 - 3.003643 shares at 0.522315","CDIV","","","$1.57"
"10/1/2024","10/1/2024","10/1/2024","VOO","Cash Div: R/D 2024-09-27 P/D 2024-10-01 - 8 shares at 1.6386","CDIV","","","$13.11"
"10/1/2024","10/1/2024","10/1/2024","VTI","Cash Div: R/D 2024-09-27 P/D 2024-10-01 - 0.398595 shares at 0.8707","CDIV","","","$0.35"
"9/30/2024","9/30/2024","9/30/2024","SCHG","Cash Div: R/D 2024-09-25 P/D 2024-09-30 - 16 shares at 0.11","CDIV","","","$1.76"
"9/30/2024","9/30/2024","9/30/2024","SCHD","Cash Div: R/D 2024-09-25 P/D 2024-09-30 - 10 shares at 0.7545","CDIV","","","$7.55"
"9/30/2024","9/30/2024","9/30/2024","BKNG","Cash Div: R/D 2024-09-06 P/D 2024-09-30 - 0.03 shares at 8.75","CDIV","","","$0.26"
"9/27/2024","9/27/2024","9/27/2024","RSP","Cash Div: R/D 2024-09-23 P/D 2024-09-27 - 1 shares at 0.69481","CDIV","","","$0.69"
"9/24/2024","9/24/2024","9/24/2024","TXRH","Cash Div: R/D 2024-09-04 P/D 2024-09-24 - 2 shares at 0.61","CDIV","","","$1.22"
"9/24/2024","9/24/2024","9/24/2024","VYM","Cash Div: R/D 2024-09-20 P/D 2024-09-24 - 2 shares at 0.8511","CDIV","","","$1.70"
"9/16/2024","9/16/2024","9/16/2024","ADC","Cash Div: R/D 2024-08-30 P/D 2024-09-16 - 1 shares at 0.25","CDIV","","","$0.25"
"9/16/2024","9/16/2024","9/16/2024","GOOGL","Cash Div: R/D 2024-09-09 P/D 2024-09-16 - 2 shares at 0.2","CDIV","","","$0.40"
"9/16/2024","9/16/2024","9/17/2024","","ACH Deposit","ACH","","","$100.00"
"9/13/2024","9/13/2024","9/13/2024","O","Cash Div: R/D 2024-09-03 P/D 2024-09-13 - 4 shares at 0.263","CDIV","","","$1.05"
"9/12/2024","9/12/2024","9/12/2024","MSFT","Cash Div: R/D 2024-08-15 P/D 2024-09-12 - 0.673807 shares at 0.75","CDIV","","","$0.51"
"9/10/2024","9/10/2024","9/10/2024","ARM","ADR Fee: R/D 2024-08-27 P/D 2024-09-10 - 1.000000 shares at 0.02","AFEE","","","($0.02)"
"9/9/2024","9/9/2024","9/9/2024","SCHD","Stock Lending","SLIP","","","$0.01"
"9/9/2024","9/9/2024","9/9/2024","SPHD","Stock Lending","SLIP","","","$0.01"
"9/9/2024","9/9/2024","9/9/2024","SCHG","Stock Lending","SLIP","","","$0.01"
"9/9/2024","9/9/2024","9/9/2024","ARM","Stock Lending","SLIP","","","$0.01"
"9/9/2024","9/9/2024","9/9/2024","RSP","Stock Lending","SLIP","","","$0.01"
"9/9/2024","9/9/2024","9/9/2024","NOBL","Stock Lending","SLIP","","","$0.01"
"9/9/2024","9/9/2024","9/9/2024","AMC","Stock Lending","SLIP","","","$0.01"
"9/9/2024","9/9/2024","9/10/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$501.11","($250.56)"
